None,region_id,region_type,region
94,999,county,"Durham County;NC;Durham-Chapel Hill, NC"
169,998,county,Duplin County;NC;nan
246,997,county,"Dubois County;IN;Jasper, IN"
401,995,county,Donley County;TX;nan
589,993,county,Dimmit County;TX;nan
682,992,county,Dillon County;SC;nan
747,991,county,Dickey County;ND;nan
839,990,county,Dewitt County;IL;nan
840,99,county,Bent County;CO;nan
882,989,county,"Denver County;CO;Denver-Aurora-Lakewood, CO"
933,988,county,"Denton County;TX;Dallas-Fort Worth-Arlington, TX"
1006,986,county,Dekalb County;TN;nan
1107,985,county,"DeKalb County;MO;St. Joseph, MO-KS"
1187,984,county,"Dekalb County;GA;Atlanta-Sandy Springs-Alpharetta, GA"
1284,983,county,"DeSoto County;MS;Memphis, TN-MS-AR"
1381,982,county,"Dawson County;TX;Lamesa, TX"
1475,981,county,"Dawson County;NE;Lexington, NE"
1542,980,county,Dawson County;MT;nan
1543,98,county,"Bell County;TX;Killeen-Temple, TX"
1608,979,county,"Dawson County;GA;Atlanta-Sandy Springs-Alpharetta, GA"
1677,978,county,"Dallas County;TX;Dallas-Fort Worth-Arlington, TX"
1763,977,county,"Dallas County;MO;Springfield, MO"
1778,976,county,"Dallas County;IA;Des Moines-West Des Moines, IA"
1839,975,county,Dallas County;AR;nan
1891,974,county,"Dallas County;AL;Selma, AL"
1980,973,county,Dallam County;TX;nan
2049,972,county,"Dakota County;NE;Sioux City, IA-NE-SD"
2123,971,county,"Dakota County;MN;Minneapolis-St. Paul-Bloomington, MN-WI"
2178,970,county,Custer County;SD;nan
2179,97,county,"Bell County;KY;Middlesborough, KY"
2255,969,county,"Custer County;OK;Weatherford, OK"
2328,968,county,Custer County;NE;nan
2383,967,county,Custer County;MT;nan
2448,966,county,Custer County;ID;nan
2522,965,county,Custer County;CO;nan
2576,964,county,Cuming County;NE;nan
2625,963,county,"Crosby County;TX;Lubbock, TX"
2683,962,county,"Craven County;NC;New Bern, NC"
2743,961,county,"Cowley County;KS;Winfield, KS"
