public_date,FFI48_desc,NFIRM,indret_ew,indret_vw,dpr_Median,bm_Median,pe_exi_Median,gpm_Median,roe_Median,totdebt_invcap_Median,rd_sale_Median,adv_sale_Median
20161231,AERO,18,-0.02363,0.013023,0.047,0.526,15.44,0.245,0.125,0.468,0.023,0
20161231,AGRIC,7,0.047514,0.033383,0.285,0.544,32.321,0.276,0.055,0.443,0,0.002
20161231,AUTOS,50,0.037819,0.043678,0.171,0.456,16.542,0.218,0.115,0.39,0.023,0
20161231,BANKS,452,0.082609,0.049526,0.311,0.824,20.119,0.874,0.084,0.537,0,0.012
20161231,BEER,10,0.020108,0.034605,0.236,0.258,26.737,0.477,0.123,0.354,0,0.074
20161231,BLDMT,52,0.060249,-0.001937,0.2,0.419,22.357,0.293,0.101,0.43,0.001,0
20161231,BOOKS,18,0.018262,0.030557,0.388,0.701,16.091,0.533,0.053,0.428,0,0.038
20161231,BOXES,10,-0.005547,-0.008209,0.278,0.293,17.224,0.251,0.195,0.707,0.003,0
20161231,BUSSV,407,0.004687,-0.001334,0,0.301,12.61,0.557,0.027,0.237,0.054,0.002
20161231,CHEMS,70,-0.008325,-0.000731,0.246,0.425,19.901,0.336,0.108,0.498,0.015,0
20161231,CHIPS,161,0.016737,0.030108,0,0.43,14.283,0.42,0.023,0.188,0.125,0
20161231,CLTHS,31,-0.020381,-0.002928,0.023,0.455,17.857,0.464,0.114,0.235,0,0.037
20161231,CNSTR,47,0.023076,0.001811,0,0.817,13.748,0.186,0.089,0.402,0,0
20161231,COAL,5,-0.025451,-0.071612,0.288,1.19,-2.166,0.192,-0.039,0.516,0,0
20161231,COMPS,82,-0.00079,0.003933,0,0.36,13.041,0.527,0.031,0.184,0.136,0.001
20161231,DRUGS,421,-0.036791,0.002064,0,0.265,-2.978,-0.179,-0.489,0.044,0.445,0
20161231,ELCEQ,49,-0.03831,-0.00732,0.165,0.513,19.448,0.319,0.045,0.28,0.026,0
20161231,FABPR,6,0.029457,0.026667,0.654,0.698,11.217,0.27,-0.016,0.343,0.004,0
20161231,FIN,110,0.030253,0.030364,0.41,0.488,18.099,0.402,0.097,0.291,0,0
20161231,FOOD,46,0.045622,0.054558,0.412,0.367,24.526,0.348,0.131,0.464,0.003,0.009
20161231,FUN,43,0.032928,-0.02683,0.229,0.501,19.348,0.36,0.066,0.557,0,0.023
20161231,GOLD,9,-0.016934,0.020546,0.269,0.36,-4.247,0.415,-0.071,0.148,0,0
20161231,GUNS,6,-0.013941,-0.052186,0.355,0.417,15.327,0.241,0.148,0.406,0.016,0
20161231,HLTH,57,0.056365,0.008513,0,0.434,14.096,0.284,0.053,0.45,0,0
20161231,HSHLD,41,0.008,0.01493,0.252,0.381,20.68,0.464,0.128,0.396,0.011,0.024
20161231,INSUR,100,0.043181,0.017586,0.206,0.839,16.13,0.163,0.085,0.216,0,0
20161231,LABEQ,58,0.022135,0.008535,0,0.422,27.867,0.495,0.073,0.204,0.091,0
20161231,MACH,97,0.013524,-0.001937,0.21,0.497,20.575,0.352,0.058,0.32,0.017,0
20161231,MEALS,67,0.035008,0.007324,0.036,0.41,23.361,0.221,0.083,0.426,0,0.022
20161231,MEDEQ,127,-0.034724,0.028104,0,0.233,-1.271,0.601,-0.088,0.191,0.084,0
20161231,MINES,14,0.056564,-0.025827,0.213,0.534,10.624,0.309,-0.031,0.367,0,0
20161231,OIL,120,0.029236,0.018733,0.515,0.633,-3.428,0.098,-0.264,0.455,0,0
20161231,OTHER,23,0.023539,0.030307,0,0.531,6.394,0.327,0.005,0.497,0,0
20161231,PAPER,31,0.05094,0.022424,0.368,0.513,18.362,0.336,0.162,0.437,0.007,0
20161231,PERSV,33,0.033827,0.023986,0,0.591,15.924,0.468,0.067,0.407,0,0.018
20161231,RLEST,26,0.037753,0.042057,0.02,0.654,15.445,0.381,0.057,0.499,0,0
20161231,RTAIL,150,-0.003895,-0.009204,0.082,0.521,17.428,0.343,0.104,0.35,0,0.016
20161231,RUBBR,17,0.022731,0.011685,0.253,0.316,25.783,0.307,0.07,0.439,0.01,0
20161231,SHIPS,9,0.052664,0.014275,0.186,0.626,14.58,0.277,0.194,0.44,0.001,0
20161231,SMOKE,4,0.000857,0.054153,0.628,0.113,20.224,0.605,0.391,0.994,0.009,0.014
20161231,SODA,9,0.007434,0.025085,0.003,0.135,19.668,0.42,0.153,0.621,0,0.008
20161231,STEEL,31,0.000201,-0.017633,0.371,0.743,-2.628,0.169,-0.017,0.341,0.001,0
20161231,TELCM,80,0.047958,0.051939,0.165,0.502,13.342,0.544,0.045,0.607,0,0.011
20161231,TOYS,15,-0.052801,-0.070859,0.185,0.425,17.368,0.363,0.091,0.328,0.038,0.031
20161231,TRANS,65,0.039849,0.009379,0.051,0.659,14.159,0.242,0.079,0.451,0,0
20161231,TXTLS,9,0.094248,-0.010794,0.248,0.4,16.733,0.287,0.159,0.421,0,0.006
20161231,UTIL,80,0.042344,0.036235,0.636,0.733,20.835,0.326,0.062,0.56,0,0
20161231,WHLSL,101,0.054515,0.025809,0.127,0.606,17.768,0.204,0.08,0.387,0,0
