public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,bm_Median,divyield_Median,pe_exi_Median,ptb_Median,gpm_Median,roa_Median,roe_Median
20100131,Consumer Discretionary,589,-0.000499,-0.026356,0.000,0.632,2.17%,3.923,1.586,0.344,0.103,0.007
20100131,Consumer Staples,168,-0.019713,-0.010182,0.174,0.547,2.39%,12.645,1.877,0.351,0.146,0.118
20100131,Energy,214,-0.023383,-0.045636,0.000,0.728,1.21%,-1.321,1.395,0.270,0.085,-0.038
20100131,Financials,785,0.050954,0.003161,0.538,1.192,2.80%,5.505,0.820,0.411,0.013,0.016
20100131,Health Care,587,-0.003648,0.001858,0.000,0.396,1.86%,-1.798,2.522,0.394,0.047,-0.053
20100131,Industrials,557,-0.033103,-0.022761,0.017,0.662,1.80%,9.929,1.461,0.277,0.101,0.040
20100131,Information Technology,713,-0.029682,-0.080492,0.000,0.554,1.86%,-1.421,1.818,0.490,0.060,-0.027
20100131,Materials,182,-0.049616,-0.086997,0.182,0.624,1.87%,6.970,1.634,0.245,0.094,0.044
20100131,Telecommunication Services,51,-0.069634,-0.080381,0.189,0.567,6.89%,8.350,1.886,0.581,0.139,0.001
20100131,Utilities,103,-0.036757,-0.046480,0.608,0.945,4.30%,13.063,1.075,0.244,0.091,0.070
20100228,Consumer Discretionary,590,0.060442,0.057647,0.000,0.655,2.02%,11.669,1.659,0.350,0.108,0.050
20100228,Consumer Staples,169,0.040566,0.027154,0.152,0.531,2.35%,14.412,1.926,0.346,0.145,0.132
20100228,Energy,214,0.047199,0.029690,0.000,0.690,1.13%,-1.449,1.468,0.308,0.088,-0.018
20100228,Financials,782,0.021322,0.033626,0.371,1.201,2.60%,7.992,0.860,0.402,0.014,0.030
20100228,Health Care,586,0.024554,0.007233,0.000,0.399,1.90%,-0.933,2.496,0.429,0.066,0.007
20100228,Industrials,554,0.040731,0.049516,0.000,0.663,1.80%,11.981,1.531,0.282,0.102,0.047
20100228,Information Technology,710,0.055198,0.044031,0.000,0.540,1.82%,-0.485,1.901,0.495,0.065,0.001
20100228,Materials,185,0.054102,0.053556,0.170,0.577,1.93%,11.085,1.631,0.263,0.105,0.068
20100228,Telecommunication Services,51,0.012705,-0.005180,0.241,0.536,6.80%,3.883,1.849,0.584,0.136,0.026
20100228,Utilities,103,-0.001721,-0.009090,0.618,0.918,4.44%,13.744,1.069,0.247,0.086,0.073
20100331,Consumer Discretionary,584,0.111575,0.086488,0.000,0.647,1.81%,14.006,1.790,0.354,0.114,0.057
20100331,Consumer Staples,164,0.063163,0.040568,0.157,0.545,2.36%,14.965,1.921,0.335,0.147,0.131
20100331,Energy,214,0.025419,0.028584,0.000,0.678,1.14%,-1.281,1.539,0.297,0.088,-0.016
20100331,Financials,783,0.066828,0.086751,0.364,1.197,2.44%,8.722,0.925,0.405,0.014,0.030
20100331,Health Care,582,0.084000,0.038502,0.000,0.399,1.64%,-1.000,2.639,0.425,0.063,0.004
20100331,Industrials,554,0.083558,0.087170,0.000,0.660,1.66%,12.769,1.630,0.282,0.103,0.049
20100331,Information Technology,711,0.080421,0.068022,0.000,0.538,1.70%,4.562,2.078,0.495,0.066,0.007
20100331,Materials,185,0.101698,0.080757,0.170,0.577,1.72%,12.869,1.948,0.263,0.105,0.068
20100331,Telecommunication Services,51,0.117035,0.057655,0.241,0.536,6.50%,4.369,1.984,0.584,0.136,0.026
20100331,Utilities,103,0.043725,0.031083,0.616,0.918,4.29%,14.238,1.090,0.247,0.086,0.073
20100430,Consumer Discretionary,580,0.102574,0.064400,0.000,0.641,1.77%,15.129,1.980,0.356,0.115,0.061
20100430,Consumer Staples,165,0.039374,-0.013699,0.152,0.522,2.49%,15.148,2.017,0.340,0.150,0.133
20100430,Energy,214,0.081153,0.042414,0.000,0.671,1.05%,-1.484,1.681,0.308,0.089,-0.016
20100430,Financials,776,0.104911,0.018786,0.370,1.191,2.29%,9.363,0.986,0.408,0.014,0.030
20100430,Health Care,583,0.053330,-0.023762,0.000,0.398,1.57%,-1.025,2.860,0.423,0.062,0.004
20100430,Industrials,551,0.078052,0.045291,0.000,0.660,1.58%,13.884,1.720,0.282,0.103,0.049
